r [Angst],g_full(r),g_31-1(r),g_31-2(r),g_31-16(r),g_31-20(r),g_31-21(r),g_31-24(r),g_31-25(r),g_31-26(r),g_31-29(r),g_31-31(r)
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7000000000000001,0.0034633949554887743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9,2.738324705012227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1,2.0293829345435617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3,0.11717251457186578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0.21221747655144715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7000000000000002,1.3230148779535347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9000000000000001,0.5720448551804211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1,0.5730257582001039,0.0,0.0,6.546068916808554,7.091574659875934,2.182022972269518,1.6365172292021386,2.182022972269518,0.3362600499354835,36.82163765704812,0.0
2.3000000000000003,0.7152913833512231,5.002988439567579,8.641525486525818,39.569090385670854,29.563113506535696,13.189696795223618,7.277074093916479,7.277074093916479,4.987657041159319,61.85512979829007,0.0
2.5,0.7730404617893705,6.544905791556812,4.619933499922455,6.159911333229941,10.009855916498653,3.0799556666149703,4.234939041595584,4.234939041595584,2.7865710060132605,8.277380854027733,0.0
2.7,0.9115733085164925,0.6601915939864812,0.0,3.300957969932406,0.6601915939864812,0.3300957969932406,1.3203831879729624,0.6601915939864812,0.5940224052510689,1.3203831879729624,0.7922299127837775
2.9000000000000004,0.9817812195781593,0.28615277488954455,0.28615277488954455,0.5723055497790891,0.0,0.28615277488954455,0.0,0.0,0.2503599696978877,0.14307638744477227,7.325511037172342
3.1,1.0987020046399874,0.0,0.2504332884262172,1.252166442131086,1.252166442131086,1.0017331537048688,0.7512998652786517,1.252166442131086,0.20416917085027275,0.2504332884262172,9.71681159093723
3.3000000000000003,1.161035332243416,0.0,0.0,0.8840264428656187,0.44201322143280936,0.8840264428656187,0.663019832149214,1.1050330535820234,0.2746626044553368,0.8840264428656187,8.398251207223378
3.5,1.1256839155579796,0.19647704130065574,0.0,0.19647704130065574,1.571816330405246,0.5894311239019672,0.785908165202623,2.3577244956078687,0.3574762189747278,1.571816330405246,5.422766339898099
3.7,1.094150793857381,0.0,0.17581538554557216,1.4065230843645773,1.054892313273433,1.230707698819005,1.7581538554557217,1.5823384699101495,0.6030595910792873,3.428400018138657,4.2898954073119615
3.9000000000000004,1.0655824375919352,0.15824925587668945,0.3164985117533789,2.531988094027031,2.2154895822736522,2.0572403263969625,1.1077447911368261,2.531988094027031,0.7190219243672894,3.560608257225512,3.4814836292871676
4.1000000000000005,1.0395444502738933,0.42956955025052174,0.42956955025052174,3.2933665519206663,3.722936102171188,2.57741730150313,2.291037601336116,1.5750883509185796,0.9552543213363794,4.367290427546971,2.57741730150313
4.3,0.9949647645285059,0.7810918570524987,0.39054592852624936,4.165823237613326,3.6450953329116604,2.7338214996837453,1.9527296426312468,2.21309359498208,1.1156870243004398,8.006191534788112,3.0202218472696623
4.5,0.9839963358462008,0.9509540537474792,1.6641695940580885,4.160423985145221,3.803816214989917,1.7830388507765234,3.447208444834612,3.2094699313977424,1.1853721968849515,8.261413341931226,2.75776675586769
4.7,0.9926838219675284,2.2883587326863943,2.6152671230701645,3.48702283076022,3.3780533672989628,3.5959922942214764,3.160114440376449,2.0704198057638803,1.1895738511929084,5.938835758638499,1.4383969176885907
4.9,0.9791737236869203,2.105391682432735,2.5064186695627795,4.311040111647981,4.411296858430491,2.5064186695627795,1.8046214420852011,2.0051349356502235,1.0894769003403937,5.263479206081836,1.1228755639641252
5.1000000000000005,0.978070901302298,2.5913619819315596,1.6658755598131456,3.146653835202608,3.146653835202608,1.110583706542097,1.6658755598131456,1.3882296331776214,0.858491405575518,3.655671367367736,1.2586615340810434
5.300000000000001,0.972624901254959,2.1424110222508617,1.7996252586907238,1.8853216995807582,2.056714581360827,1.5425359360206203,1.0283572906804135,1.285446613350517,0.8639428142753499,2.613741447146051,1.302585901528524
5.5,0.9784233848981253,1.1936694642263286,1.1936694642263286,1.9098711427621258,1.9098711427621258,1.1140914999445732,1.2732474285080837,0.7162016785357971,0.8663456531857598,2.0292380891847586,2.1008582570383387
5.7,0.9804033338387054,1.037289131462551,1.1113812122813047,1.259565373918812,1.926394101287595,1.3336574547375657,1.1113812122813047,1.481841616375073,0.822091660859914,1.4077495355563192,2.252399256890111
5.9,0.9939935231858882,1.798017014491715,1.3139355105900994,1.7288625139343414,1.0373175083606048,1.9363260156064623,1.590553512819594,1.1064720089179785,0.8704391401469256,1.9017487653277756,2.4619002198425024
6.1000000000000005,1.002626935504471,1.6173629609038216,1.6820574793399745,2.329002663701503,2.070224589956892,1.35858488715921,1.876141034648433,1.6820574793399745,0.8811955758962777,1.5203211832495922,2.536025122697192
6.300000000000001,1.0020065796550568,1.8195740774803755,1.8195740774803755,1.3950067927349545,1.5769642004829922,0.9704395079895336,1.698269138981684,2.122836423727105,0.8834263878686324,2.092510189102432,2.6687086469712176
6.5,1.0077212924478431,2.165153435248185,3.247730152872278,1.9942202693075393,1.4814207714856005,1.253509883564739,2.2221311572284006,1.6523539374262468,0.9137422481942223,2.3645754621789394,1.8916603697431515
6.7,1.0090801014063975,2.895862682383826,2.5741001621189565,1.5551855146135363,1.984202208300029,2.1987105551432755,1.6088126013243478,1.716066774745971,0.9645106510070172,1.581999057968942,1.9949276256421913
6.9,1.0098150647323272,3.438320712674483,1.9719780557986006,1.2135249574145235,1.2640884973067952,1.7191603563372415,0.8595801781686208,1.4663426568758824,0.9340442190685833,1.7444421262833774,1.2944266212421582
7.1000000000000005,1.0113962859770995,2.6265358509763668,1.910207891619176,1.6236767078762995,1.9579630889096553,1.1461247349715056,1.2416351295524644,1.5759215105858202,0.9728521845526172,1.5042887146501012,1.3944517608819986
7.300000000000001,1.0076118111752366,2.1232006116835684,1.8973282061853165,1.6262813195874142,1.4455833951888126,1.264885470790211,1.0841875463916095,1.5359323573881134,0.9310579896369097,2.0780261305839183,1.3010250556699314
7.5,1.0077077626495918,2.2682643400405404,1.8830873766374299,1.3267206517218255,1.583505293990566,1.1127334498312085,1.4123155324780723,1.0271385690749617,0.9641885227882684,1.9900809775827384,1.1983283305874552
7.7,1.0022344206934162,1.9083500888012646,2.111366055695016,1.5023181550137614,1.33990538149876,1.2180958013625092,1.3805085748775106,1.2586989947412595,0.9454342660513673,1.8880484921118892,1.153130691956509
7.9,0.9959413558196744,2.2372611098926622,1.967246838009065,1.4272182942418707,1.3114978920060434,1.2343509571821585,1.1572040223582736,0.9643366852985613,0.9549316404556724,1.6393723650075542,1.2189215702173817
8.1,0.9981445670450603,1.5410731233738488,1.6511497750434094,1.2842276028115407,1.6511497750434094,1.6511497750434094,1.2475353855883538,1.5410731233738488,0.9711051639099484,1.467688688927475,1.4383349151489255
8.3,0.9953853741686453,1.921991881660856,1.8521012677822797,1.43275758451082,1.5375935053286849,1.188140435935802,1.2230857428750903,1.1182498220572255,0.9603093438045875,1.4677028914501085,1.5096372597772545
8.5,0.994511880194499,1.266169263019284,1.9992146258199222,1.0995680442009572,1.79929316323793,1.166208531728288,1.166208531728288,1.2328490192556187,0.9845578324864517,1.266169263019284,1.4794188231067427
8.700000000000001,0.9962068649486268,1.749327470942689,1.6539096088912695,1.1132083905998928,1.3994619767541512,1.1768202986341725,1.3358500687198716,1.0177905285484736,0.9502484273513905,1.447170907779861,1.297682923899304
8.9,0.9962884651689892,1.5196297000109629,1.8539482340133746,1.0333481960074546,1.4892371060107437,1.0941333840078933,1.1549185720083317,1.1549185720083317,0.9572760598648741,1.063740790007674,1.32511709840956
9.1,0.998766208984511,1.5407836500774497,1.8024261566943751,1.308212533084627,1.308212533084627,0.9593558575953932,1.1919269745882157,1.162855584964113,0.9590172740404491,1.162855584964113,1.1512270291144717
9.3,0.9995017081276945,1.6422354950459157,1.6979044948779807,1.1690489964733637,1.1133799966412987,1.2525524962214611,1.419559495717656,1.2525524962214611,0.9276233870321738,1.238635246263445,1.3360559959695586
9.5,1.002056953020702,1.8672430295274318,1.4404446227783045,1.2803952202473818,1.1736956185601,1.2003705189819205,1.0936709172946386,1.1470207181382794,0.959258314241178,1.3337450210910227,1.4831244634532172
9.700000000000001,1.001974037269121,1.5095907122520695,1.1257964633744246,1.176969029891444,0.9978650470818764,1.0490376135988957,0.9211061973063475,1.176969029891444,0.9536892787895117,1.2153484547792084,1.3100177028356943
9.9,1.0026465969282212,1.866785807727248,1.5474671827212714,1.0070818173265417,1.2035855865609888,0.933392903863624,1.424652326949742,1.0070818173265417,0.9470501111941878,1.2404300432924478,1.257624123100462
